2207,94,7,0,15号,1281,85,35.17,6,0
2178,35,1,,15,1236,87,28.76,6,0
2177,34,1,,14,1236,87,24.33,6,0
397,173,4,0,1,1232,85,35.31,6,0
4322,183,4,0,11,1232,87,32.99,6,0
4323,184,4,0,12,1232,85,19.4,6,0
6844,5,2,,9,1333,85,38.81,6,0
1952,164,3,0,12,1232,10,21.34,6,0
1950,162,3,0,10,1232,87,18.43,6,0
1946,158,3,0,1层北侧6号,1232,85,30.07,6,0
1957,151,4,0,3,1232,85,27.65,6,0
1956,150,4,0,2,1232,87,18.43,6,0
1953,165,3,0,13,1232,87,18.43,6,0
3846,184,10,0,19,1232,87,18.48,6,0
6483,252,2,0,42,1321,87,25.66,6,0
6482,251,2,0,41,1321,87,20.57,6,0
2881,243,3,,一层东数13号,1224,85,39.25,6,0
2878,240,3,0,一层10号,1224,87,39.25,6,0
3761,184,3,2,119,1225,87,36.74,6,0
6481,250,2,0,40,1321,87,20.57,6,0
3852,190,10,0,25,1232,85,18.48,6,0
6872,5,3,,2,1361,85,34.71,6,0
4306,1,17,0,4,1230,87,28.63,6,0
6480,249,2,0,39,1321,87,23.61,6,0
3850,188,10,0,23,1232,31,18.48,6,0
3851,189,10,0,24,1232,85,18.48,6,0
1945,157,3,0,5,1232,87,30.07,6,0
1054,232,4,,1,1225,85,68.72,6,0
5865,186,9,0,10号,1232,85,30.15,6,0
6070,168,3,2,3号,1225,87,36.74,6,0
5378,158,10,0,7,1232,87,30.15,6,0
6382,1,8,,,1223,85,29.49,6,0
1229,2,9,0,1,1230,87,34.02,6,0
6285,1,8,,5号,1224,87,29.56,6,0
6351,7,12,0,南侧16,1230,87,19.08,6,0
6369,43,3,,自西向东1层北13号,1480,85,32.19,6,0
6367,42,3,,自西向东1层北4号,1480,85,19.12,6,0
6376,51,3,,自西向东1层南15号,1480,85,19.12,6,0
6318,9,8,0,一层北侧6号,1230,10,32.73,6,0
6343,3,3,,1层5号,1528,87,20.16,6,0
1848,85,7,0,6,1281,85,20.46,6,0
396,172,4,0,24,1232,87,18.43,6,0
395,171,4,0,23,1232,87,18.43,6,0
1942,154,3,0,2,1232,85,34.91,6,0
4872,23,1,,3,1236,87,26.42,6,0
6824,7,15,0,北侧11号,1230,85,37.9,6,0
1586,179,9,0,北3号,1232,85,33.06,6,0
6630,18,5,0,2,1224,87,23.25,6,0
6641,186,5,0,1,1237,87,21.94,6,0
5374,154,10,0,3,1232,85,30.15,6,0
6479,248,2,0,38,1321,87,23.61,6,0
6478,247,2,0,37,1321,87,20.57,6,0
6629,17,5,0,1,1224,87,23.25,6,0
3516,2,1,,21,1284,87,42.67,6,0
8,1,8,0,10,1232,87,30.14,6,0
3488,158,9,0,10,1232,85,18.48,6,0
3476,143,3,0,15,1232,85,18.43,6,0
3477,144,3,0,16,1232,85,18.43,6,0
3167,251,1,0,车库23,1226,87,32.2,6,0
6969,219,3,0,东数20号,1287,87,26.33,6,0
3166,250,1,0,车库22,1226,87,45.39,6,0
3164,248,1,0,车库20,1226,87,21.08,6,0
3165,249,1,0,车库21,1226,87,21.08,6,0
6982,247,3,0,24,1226,85,18.23,6,0
3115,152,9,0,南4号,1232,85,18.48,6,0
3284,187,1,2,12号,1225,85,34.99,6,0
3160,244,1,0,车库16,1226,87,21.08,6,0
3159,243,1,0,车库15,1226,87,37.98,6,0
3467,133,3,0,5号,1232,85,18.43,6,0
3472,139,3,0,11,1232,87,18.43,6,0
3465,131,3,,3,1232,85,27.64,6,0
3114,151,9,0,东数3号,1232,85,29.56,6,0
3112,149,9,0,4,1232,85,18.48,6,0
3161,245,1,0,车库17,1226,87,21.08,6,0
19,155,4,0,7,1232,87,19.36,6,0
18,154,4,0,6,1232,31,19.36,6,0
24,160,4,0,12号,1232,85,18.43,6,0
3163,247,1,0,车库19,1226,87,21.08,6,0
3162,246,1,0,车库18,1226,87,21.08,6,0
6962,212,3,0,13,1287,27,44.57,5,0
6970,220,3,0,21,1287,27,52.03,5,0
6971,221,3,0,22,1287,27,47.74,5,0
6973,223,3,0,24,1287,27,26.33,5,0
6975,225,3,0,26,1287,27,47.74,5,0
6974,224,3,0,25,1287,27,47.74,5,0
6979,244,3,0,20,1226,27,18.23,5,0
6461,295,3,0,北侧5,1296,27,31.14,5,0
6460,294,3,0,北侧4,1296,27,31.14,5,0
